--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2026-04-07
Commit: f914b06aa67d742b65ba9cda6601f55c4a644d72

Go version: go1.26.0

CPU:
- arch: arm64
- physical cores: 4
- logical cores: 4

CPU features:
- SVE: true
- AES: true
- SHA1: true
- SHA2: true
- SHA512: true
- SHA3: true
- CRC32: true
- ATOMICS: true

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
go: downloading github.com/zeebo/blake3 v0.2.4
go: downloading golang.org/x/crypto v0.49.0
go: downloading lukechampine.com/blake3 v1.2.1
go: downloading github.com/klauspost/cpuid/v2 v2.3.0
goos: linux
goarch: arm64
pkg: github.com/skerkour/go-benchmarks/hashing
BenchmarkMac/64KiB-HMAC-SHA2-256-4                 	   38168	     31362 ns/op	2089.65 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/64KiB-HMAC-SHA2-512-4                 	   23797	     50380 ns/op	1300.84 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/64KiB-SHA3-256-4                      	    8342	    143070 ns/op	 458.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64KiB-SHA3-512-4                      	    4472	    267788 ns/op	 244.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64KiB-SHAKE256-512-4                  	    8372	    143045 ns/op	 458.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64KiB-KMAC-128-4                      	   10000	    117095 ns/op	 559.68 MB/s	     608 B/op	       5 allocs/op
BenchmarkMac/64KiB-KMAC-256-4                      	    8326	    143636 ns/op	 456.27 MB/s	     576 B/op	       5 allocs/op
BenchmarkMac/64KiB-HMAC-SHA3-256-4                 	    8313	    144180 ns/op	 454.54 MB/s	     864 B/op	       5 allocs/op
BenchmarkMac/64KiB-HMAC-SHA3-512-4                 	    4447	    269030 ns/op	 243.60 MB/s	     736 B/op	       5 allocs/op
BenchmarkMac/64KiB-BLAKE3-256_zeebo-4              	   10000	    107401 ns/op	 610.20 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/64KiB-BLAKE3-512_zeebo-4              	   10000	    107940 ns/op	 607.15 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/64KiB-BLAKE3-256_lukechampine-4       	    9063	    132069 ns/op	 496.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64KiB-BLAKE3-512_lukechampine-4       	    9052	    132090 ns/op	 496.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64KiB-BLAKE2b-256-4                   	   13928	     86142 ns/op	 760.79 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/64KiB-BLAKE2s-256-4                   	    8118	    147523 ns/op	 444.24 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/64KiB-poly1305-4                      	   45801	     26188 ns/op	2502.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1MiB-HMAC-SHA2-256-4                  	    2421	    495594 ns/op	2115.80 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/1MiB-HMAC-SHA2-512-4                  	    1512	    792577 ns/op	1322.99 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/1MiB-SHA3-256-4                       	     524	   2287653 ns/op	 458.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1MiB-SHA3-512-4                       	     279	   4284232 ns/op	 244.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1MiB-SHAKE256-512-4                   	     524	   2286374 ns/op	 458.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1MiB-KMAC-128-4                       	     644	   1856417 ns/op	 564.84 MB/s	     608 B/op	       5 allocs/op
BenchmarkMac/1MiB-KMAC-256-4                       	     524	   2284881 ns/op	 458.92 MB/s	     576 B/op	       5 allocs/op
BenchmarkMac/1MiB-HMAC-SHA3-256-4                  	     523	   2286955 ns/op	 458.50 MB/s	     864 B/op	       5 allocs/op
BenchmarkMac/1MiB-HMAC-SHA3-512-4                  	     279	   4283188 ns/op	 244.81 MB/s	     736 B/op	       5 allocs/op
BenchmarkMac/1MiB-BLAKE3-256_zeebo-4               	     703	   1697826 ns/op	 617.60 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/1MiB-BLAKE3-512_zeebo-4               	     700	   1709319 ns/op	 613.45 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/1MiB-BLAKE3-256_lukechampine-4        	     568	   2106978 ns/op	 497.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1MiB-BLAKE3-512_lukechampine-4        	     568	   2105740 ns/op	 497.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1MiB-BLAKE2b-256-4                    	     873	   1373020 ns/op	 763.70 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/1MiB-BLAKE2s-256-4                    	     506	   2365307 ns/op	 443.31 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/1MiB-poly1305-4                       	    2852	    419444 ns/op	2499.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/10MiB-HMAC-SHA2-256-4                 	     242	   4936566 ns/op	2124.10 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/10MiB-HMAC-SHA2-512-4                 	     151	   7903147 ns/op	1326.78 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/10MiB-SHA3-256-4                      	      51	  22844169 ns/op	 459.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/10MiB-SHA3-512-4                      	      27	  42829377 ns/op	 244.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/10MiB-SHAKE256-512-4                  	      51	  22845817 ns/op	 458.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/10MiB-KMAC-128-4                      	      63	  18534503 ns/op	 565.74 MB/s	     608 B/op	       5 allocs/op
BenchmarkMac/10MiB-KMAC-256-4                      	      51	  22802231 ns/op	 459.86 MB/s	     576 B/op	       5 allocs/op
BenchmarkMac/10MiB-HMAC-SHA3-256-4                 	      51	  22833284 ns/op	 459.23 MB/s	     864 B/op	       5 allocs/op
