--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2026-04-07
Commit: f914b06aa67d742b65ba9cda6601f55c4a644d72

Go version: go1.26.0

CPU:
- arch: amd64
- physical cores: 8
- logical cores: 16

CPU features:
- AVX: true
- AVX2: true
- AVX512: false
- SSE: true
- SSE2: true
- AES: true
- SHA1: false
- SHA2: false
- SHA512: false
- SHA-3: false
- CRC32: false
- ATOMICS: false

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
go: downloading github.com/zeebo/blake3 v0.2.4
go: downloading golang.org/x/crypto v0.49.0
go: downloading lukechampine.com/blake3 v1.2.1
go: downloading github.com/klauspost/cpuid/v2 v2.3.0
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/hashing
cpu: AMD EPYC 7763 64-Core Processor
BenchmarkMac/64KiB-BLAKE3-256_zeebo-4              	   63518	     18734 ns/op	3498.28 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/64KiB-BLAKE3-512_zeebo-4              	   63529	     18867 ns/op	3473.50 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/64KiB-BLAKE3-256_lukechampine-4       	   39648	     29790 ns/op	2199.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64KiB-BLAKE3-512_lukechampine-4       	   40201	     29812 ns/op	2198.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/64KiB-BLAKE2b-256-4                   	   14800	     81076 ns/op	 808.33 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/64KiB-BLAKE2s-256-4                   	   10000	    108269 ns/op	 605.30 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/64KiB-poly1305-4                      	   54195	     22143 ns/op	2959.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1MiB-HMAC-SHA2-256-4                  	    1813	    661883 ns/op	1584.23 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/1MiB-HMAC-SHA2-512-4                  	     775	   1546820 ns/op	 677.89 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/1MiB-SHA3-256-4                       	     384	   3119831 ns/op	 336.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1MiB-SHA3-512-4                       	     204	   5859651 ns/op	 178.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1MiB-SHAKE256-512-4                   	     384	   3118246 ns/op	 336.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1MiB-KMAC-128-4                       	     471	   2541518 ns/op	 412.58 MB/s	     608 B/op	       5 allocs/op
BenchmarkMac/1MiB-KMAC-256-4                       	     381	   3126191 ns/op	 335.42 MB/s	     576 B/op	       5 allocs/op
BenchmarkMac/1MiB-HMAC-SHA3-256-4                  	     382	   3130307 ns/op	 334.98 MB/s	     864 B/op	       5 allocs/op
BenchmarkMac/1MiB-HMAC-SHA3-512-4                  	     204	   5857578 ns/op	 179.01 MB/s	     736 B/op	       5 allocs/op
BenchmarkMac/1MiB-BLAKE3-256_zeebo-4               	    4246	    277932 ns/op	3772.78 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/1MiB-BLAKE3-512_zeebo-4               	    4257	    279249 ns/op	3754.98 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/1MiB-BLAKE3-256_lukechampine-4        	    2474	    483757 ns/op	2167.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1MiB-BLAKE3-512_lukechampine-4        	    2479	    481811 ns/op	2176.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/1MiB-BLAKE2b-256-4                    	     928	   1293088 ns/op	 810.91 MB/s	     384 B/op	       1 allocs/op
BenchmarkMac/1MiB-BLAKE2s-256-4                    	     693	   1730303 ns/op	 606.01 MB/s	     192 B/op	       1 allocs/op
BenchmarkMac/1MiB-poly1305-4                       	    3376	    355064 ns/op	2953.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/10MiB-HMAC-SHA2-256-4                 	     181	   6614803 ns/op	1585.20 MB/s	     480 B/op	       5 allocs/op
BenchmarkMac/10MiB-HMAC-SHA2-512-4                 	      76	  15470421 ns/op	 677.79 MB/s	     800 B/op	       5 allocs/op
BenchmarkMac/10MiB-SHA3-256-4                      	      37	  31193110 ns/op	 336.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/10MiB-SHA3-512-4                      	      20	  58576949 ns/op	 179.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/10MiB-SHAKE256-512-4                  	      37	  31220831 ns/op	 335.86 MB/s	       0 B/op	       0 allocs/op
BenchmarkMac/10MiB-KMAC-128-4                      	      46	  25347945 ns/op	 413.67 MB/s	     608 B/op	       5 allocs/op
BenchmarkMac/10MiB-KMAC-256-4                      	      38	  31229222 ns/op	 335.77 MB/s	     576 B/op	       5 allocs/op
BenchmarkMac/10MiB-HMAC-SHA3-256-4                 	      38	  31201600 ns/op	 336.06 MB/s	     864 B/op	       5 allocs/op
BenchmarkMac/10MiB-HMAC-SHA3-512-4                 	      20	  58611912 ns/op	 178.90 MB/s	     736 B/op	       5 allocs/op
BenchmarkMac/10MiB-BLAKE3-256_zeebo-4              	     432	   2758131 ns/op	3801.76 MB/s	   10880 B/op	       1 allocs/op
BenchmarkMac/10MiB-BLAKE3-512_zeebo-4              	     434	   2773898 ns/op	3780.15 MB/s	   10880 B/op	       1 allocs/op
