--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2023-08-09

Go version: go1.21.0

CPU:
- arch: amd64
- physical cores: 8
- logical cores: 8

CPU features:
- AVX: true
- AVX2: true
- AVX512: false
- SSE: true
- SSE2: true
- AES: true
- SHA1: false
- SHA2: false
- SHA512: false
- CRC32: false
- ATOMICS: false

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/hashing
cpu: AMD EPYC 7543 32-Core Processor
BenchmarkChunking/64KiB-tigerwill90_fastcdc-8 	    6939	    192413 ns/op	 340.60 MB/s	  459029 B/op	       6 allocs/op
BenchmarkChunking/64KiB-restic_chunker-8      	     892	   1427329 ns/op	  45.92 MB/s	 8917830 B/op	       4 allocs/op
BenchmarkChunking/1MiB-jotfs_fastcdc-8        	     633	   1955950 ns/op	 536.10 MB/s	  524450 B/op	       3 allocs/op
BenchmarkChunking/1MiB-tigerwill90_fastcdc-8  	    1269	   1121594 ns/op	 934.90 MB/s	  459268 B/op	      11 allocs/op
BenchmarkChunking/1MiB-restic_chunker-8       	     625	   4564457 ns/op	 229.73 MB/s	 8917820 B/op	       4 allocs/op
BenchmarkChunking/10MiB-jotfs_fastcdc-8       	     157	   8070308 ns/op	1299.30 MB/s	  524448 B/op	       3 allocs/op
BenchmarkChunking/10MiB-tigerwill90_fastcdc-8 	     272	   4386954 ns/op	2390.21 MB/s	  461568 B/op	      59 allocs/op
BenchmarkChunking/10MiB-restic_chunker-8      	      56	  25574450 ns/op	 410.01 MB/s	 8917818 B/op	       4 allocs/op
BenchmarkChunking/1GiB-jotfs_fastcdc-8        	       2	 689311087 ns/op	1557.70 MB/s	  524448 B/op	       3 allocs/op
BenchmarkChunking/1GiB-tigerwill90_fastcdc-8  	       3	 362190284 ns/op	2964.58 MB/s	  721152 B/op	    5467 allocs/op
BenchmarkChunking/1GiB-restic_chunker-8       	       1	1802613910 ns/op	 595.66 MB/s	 8917808 B/op	       4 allocs/op
PASS
ok  	github.com/skerkour/go-benchmarks/chunking	53.140s
go test -benchmem -bench=. github.com/skerkour/go-benchmarks/encryption
goos: linux
goarch: amd64
pkg: github.com/skerkour/go-benchmarks/encryption
cpu: AMD EPYC 7543 32-Core Processor
BenchmarkEncrypt/64B-XChaCha20_Poly1305-8         	 1000000	      1009 ns/op	  63.43 MB/s	     704 B/op	       1 allocs/op
