--------------------------------------------------------------------------------
-- SYSTEM INFO
--------------------------------------------------------------------------------

Date: 2023-08-09

Go version: go1.21.0

CPU:
- arch: arm64
- physical cores: 8
- logical cores: 8

CPU features:
- SVE: false
- AES: true
- SHA1: true
- SHA2: true
- SHA512: false
- SHA3: false
- CRC32: true
- ATOMICS: true

--------------------------------------------------------------------------------

go test -benchmem -bench=. github.com/skerkour/go-benchmarks/hashing
goos: linux
goarch: arm64
pkg: github.com/skerkour/go-benchmarks/hashing
BenchmarkChunking/1GiB-tigerwill90_fastcdc-8  	       2	 862974322 ns/op	1244.23 MB/s	  721152 B/op	    5467 allocs/op
BenchmarkChunking/1GiB-restic_chunker-8       	       1	1959202473 ns/op	 548.05 MB/s	 8917808 B/op	       4 allocs/op
PASS
ok  	github.com/skerkour/go-benchmarks/chunking	44.425s
go test -benchmem -bench=. github.com/skerkour/go-benchmarks/encryption
goos: linux
goarch: arm64
pkg: github.com/skerkour/go-benchmarks/encryption
BenchmarkEncrypt/64B-XChaCha20_Poly1305-8         	 1224206	       985.9 ns/op	  64.91 MB/s	     704 B/op	       1 allocs/op
BenchmarkEncrypt/64B-ChaCha20_Poly1305-8          	 1430929	       845.0 ns/op	  75.74 MB/s	     704 B/op	       1 allocs/op
BenchmarkEncrypt/64B-AES_128_GCM-8                	 3018609	       396.8 ns/op	 161.31 MB/s	     704 B/op	       1 allocs/op
BenchmarkEncrypt/64B-AES_256_GCM-8                	 2991115	       402.3 ns/op	 159.10 MB/s	     704 B/op	       1 allocs/op
BenchmarkEncrypt/1KiB-XChaCha20_Poly1305-8        	  308502	      3815 ns/op	 268.45 MB/s	    2688 B/op	       1 allocs/op
BenchmarkEncrypt/1KiB-ChaCha20_Poly1305-8         	  310411	      3601 ns/op	 284.34 MB/s	    2688 B/op	       1 allocs/op
BenchmarkEncrypt/1KiB-AES_128_GCM-8               	  857352	      1333 ns/op	 768.38 MB/s	    2688 B/op	       1 allocs/op
BenchmarkEncrypt/1KiB-AES_256_GCM-8               	  777408	      1418 ns/op	 722.24 MB/s	    2688 B/op	       1 allocs/op
BenchmarkEncrypt/16KiB-XChaCha20_Poly1305-8       	   28868	     40440 ns/op	 405.14 MB/s	   40960 B/op	       1 allocs/op
BenchmarkEncrypt/16KiB-ChaCha20_Poly1305-8        	   30061	     40293 ns/op	 406.62 MB/s	   40960 B/op	       1 allocs/op
BenchmarkEncrypt/16KiB-AES_128_GCM-8              	   96016	     12442 ns/op	1316.86 MB/s	   40960 B/op	       1 allocs/op
BenchmarkEncrypt/16KiB-AES_256_GCM-8              	   88610	     13638 ns/op	1201.35 MB/s	   40960 B/op	       1 allocs/op
BenchmarkEncrypt/64KiB-XChaCha20_Poly1305-8       	    7100	    154833 ns/op	 423.27 MB/s	  139264 B/op	       1 allocs/op
BenchmarkEncrypt/64KiB-ChaCha20_Poly1305-8        	    7467	    153368 ns/op	 427.31 MB/s	  139264 B/op	       1 allocs/op
BenchmarkEncrypt/64KiB-AES_128_GCM-8              	   28896	     43177 ns/op	1517.84 MB/s	  139264 B/op	       1 allocs/op
BenchmarkEncrypt/64KiB-AES_256_GCM-8              	   24939	     47602 ns/op	1376.76 MB/s	  139264 B/op	       1 allocs/op
BenchmarkEncrypt/1MiB-XChaCha20_Poly1305-8        	     487	   2470806 ns/op	 424.39 MB/s	 2105349 B/op	       1 allocs/op
BenchmarkEncrypt/1MiB-ChaCha20_Poly1305-8         	     487	   2439921 ns/op	 429.76 MB/s	 2105348 B/op	       1 allocs/op
BenchmarkEncrypt/1MiB-AES_128_GCM-8               	    1730	    748065 ns/op	1401.72 MB/s	 2105356 B/op	       1 allocs/op
BenchmarkEncrypt/1MiB-AES_256_GCM-8               	    1483	    842124 ns/op	1245.16 MB/s	 2105357 B/op	       1 allocs/op
BenchmarkEncrypt/10MiB-XChaCha20_Poly1305-8       	      45	  23104729 ns/op	 453.84 MB/s	20979712 B/op	       1 allocs/op
BenchmarkEncrypt/10MiB-ChaCha20_Poly1305-8        	      46	  22758627 ns/op	 460.74 MB/s	20979712 B/op	       1 allocs/op
BenchmarkEncrypt/10MiB-AES_128_GCM-8              	     199	   5977429 ns/op	1754.23 MB/s	20979731 B/op	       1 allocs/op
BenchmarkEncrypt/10MiB-AES_256_GCM-8              	     174	   6968419 ns/op	1504.75 MB/s	20979725 B/op	       1 allocs/op
BenchmarkEncrypt/1GiB-XChaCha20_Poly1305-8        	       1	2714798887 ns/op	 395.51 MB/s	2147491840 B/op	       1 allocs/op
BenchmarkEncrypt/1GiB-ChaCha20_Poly1305-8         	       1	2590182300 ns/op	 414.54 MB/s	2147491840 B/op	       1 allocs/op
BenchmarkEncrypt/1GiB-AES_128_GCM-8               	       2	 815890046 ns/op	1316.04 MB/s	2147491840 B/op	       1 allocs/op
BenchmarkEncrypt/1GiB-AES_256_GCM-8               	       2	 795998103 ns/op	1348.93 MB/s	2147491840 B/op	       1 allocs/op
BenchmarkDecrypt/64B-XChaCha20_Poly1305-8         	 1284129	       927.0 ns/op	  69.04 MB/s	     128 B/op	       1 allocs/op
BenchmarkDecrypt/64B-ChaCha20_Poly1305-8          	 1540045	       784.2 ns/op	  81.61 MB/s	     128 B/op	       1 allocs/op
BenchmarkDecrypt/64B-AES_128_GCM-8                	 4179920	       292.0 ns/op	 219.17 MB/s	     128 B/op	       1 allocs/op
BenchmarkDecrypt/64B-AES_256_GCM-8                	 4080268	       291.3 ns/op	 219.68 MB/s	     128 B/op	       1 allocs/op
BenchmarkDecrypt/1KiB-XChaCha20_Poly1305-8        	  326020	      3658 ns/op	 279.94 MB/s	    2048 B/op	       1 allocs/op
BenchmarkDecrypt/1KiB-ChaCha20_Poly1305-8         	  343081	      3559 ns/op	 287.73 MB/s	    2048 B/op	       1 allocs/op
BenchmarkDecrypt/1KiB-AES_128_GCM-8               	  908960	      1262 ns/op	 811.23 MB/s	    2048 B/op	       1 allocs/op
BenchmarkDecrypt/1KiB-AES_256_GCM-8               	  909032	      1365 ns/op	 749.97 MB/s	    2048 B/op	       1 allocs/op
BenchmarkDecrypt/16KiB-XChaCha20_Poly1305-8       	   28485	     41829 ns/op	 391.69 MB/s	   32768 B/op	       1 allocs/op
BenchmarkDecrypt/16KiB-ChaCha20_Poly1305-8        	   28702	     42582 ns/op	 384.76 MB/s	   32768 B/op	       1 allocs/op
BenchmarkDecrypt/16KiB-AES_128_GCM-8              	   89794	     13621 ns/op	1202.81 MB/s	   32768 B/op	       1 allocs/op
